Brew_ID,Name,City,State,Latitude,Longitude
91,The Lion Brewery,Wilkes-Barre, PA,41.2459149,-75.8813075
92,Madtree Brewing Company,Cincinnati, OH,39.1031182,-84.5120196
93,Jackie O's Pub & Brewery,Athens, OH,39.3292396,-82.1012554
94,Rhinegeist Brewery,Cincinnati, OH,39.1031182,-84.5120196
95,Warped Wing Brewing Company,Dayton, OH,39.7589478,-84.1916069
96,Blackrocks Brewery,Marquette, MA,43.038991,-87.92942
97,Catawba Valley Brewing Company,Morganton, NC,35.7454071,-81.6848188
98,Tröegs Brewing Company,Hershey, PA,40.2859239,-76.6502468
99,Mission Brewery,San Diego, CA,32.715738,-117.1610838
100,Christian Moerlein Brewing Company,Cincinnati, OH,39.1031182,-84.5120196
101,West Sixth Brewing,Lexington, KY,38.0405837,-84.5037164
102,Coastal Extreme Brewing Company,Newport, RI,41.4901024,-71.3128285
103,King Street Brewing Company,Anchorage, AK,61.2180556,-149.9002778
104,Beer Works Brewery,Lowell, MA,42.6334247,-71.3161718
105,Lone Tree Brewing Company,Lone Tree, CO,39.536482,-104.8970678
106,Four String Brewing Company,Columbus, OH,39.9611755,-82.9987942
107,Glabrous Brewing Company,Pineland, ME,43.962853,-70.2825536
108,Bonfire Brewing Company,Eagle, CO,39.6552634,-106.8286507
109,Thomas Hooker Brewing Company,Bloomfield, CT,41.826488,-72.7300945
110,"Woodstock Inn, Station & Brewery",North Woodstock, NH,44.0302045,-71.6864932
111,Renegade Brewing Company,Denver, CO,39.7392358,-104.990251
112,Mother Earth Brew Company,Vista, CA,33.2000368,-117.2425355
113,Black Market Brewing Company,Temecula, CA,33.4936391,-117.1483648
114,Vault Brewing Company,Yardley, PA,40.245664,-74.8459972
115,Jailbreak Brewing Company,Laurel, MD,39.0992752,-76.8483061
116,Smartmouth Brewing Company,Norfolk, VA,36.8507689,-76.2858726
117,Base Camp Brewing Co.,Portland, OR,45.5122308,-122.6587185
118,Alameda Brewing,Portland, OR,45.5122308,-122.6587185
119,Southern Star Brewing Company,Conroe, TX,30.3118769,-95.4560512
120,Steamworks Brewing Company,Durango, CO,37.27528,-107.8800667
121,Horny Goat Brew Pub,Milwaukee, WI,43.0389025,-87.9064736
122,Cheboygan Brewing Company,Cheboygan, MI,45.6469563,-84.4744795
123,Center of the Universe Brewing C...,Ashland, VA,37.7590318,-77.4799837
124,Ipswich Ale Brewery,Ipswich, MA,42.6791832,-70.8411558
125,Griffin Claw Brewing Company,Birmingham, MI,42.5467012,-83.2113192
126,Karbach Brewing Company,Houston, TX,29.7604267,-95.3698028
127,Uncle Billy's Brewery and Smokeh...,Austin, TX,30.267153,-97.7430608
128,Deep Ellum Brewing Company,Dallas, TX,32.7766642,-96.7969879
129,Real Ale Brewing Company,Blanco, TX,30.0979862,-98.4214095
130,Straub Brewery,St Mary's, PA,41.4273738,-78.5609398
131,Shebeen Brewing Company,Wolcott, CT,41.6023196,-72.9867718
132,Stevens Point Brewery,Stevens Point, WI,44.5235792,-89.574563
133,Weston Brewing Company,Weston, MO,39.4111092,-94.9016298
134,Southern Prohibition Brewing Com...,Hattiesburg, MS,31.3271189,-89.2903392
135,Minhas Craft Brewery,Monroe, WI,42.6011194,-89.6384532
136,Pug Ryan's Brewery,Dillon, CO,39.6302643,-106.0433518
137,Hops & Grains Brewing Company,Austin, TX,30.267153,-97.7430608
138,Sietsema Orchards and Cider Mill,Ada, MI,42.960727,-85.4954803
139,Summit Brewing Company,St Paul, MN,44.9537029,-93.0899578
140,Core Brewing & Distilling Company,Springdale, AR,36.1867442,-94.1288141
141,Independence Brewing Company,Austin, TX,30.267153,-97.7430608
142,Cigar City Brewing Company,Tampa, FL,27.950575,-82.4571776
143,Third Street Brewhouse,Cold Spring, MN,45.4536111,-94.4277778
144,Narragansett Brewing Company,Providence, RI,41.8239891,-71.4128343
145,Grimm Brothers Brewhouse,Loveland, CO,40.3977612,-105.0749801
146,Cisco Brewers,Nantucket, MA,41.2834704,-70.099451
147,Angry Minnow,Hayward, WI,46.0130065,-91.4846208
148,Platform Beer Company,Cleveland, OH,41.49932,-81.6943605
149,Odyssey Beerwerks,Arvada, CO,39.8027644,-105.0874842
150,Lonerider Brewing Company,Raleigh, NC,35.7795897,-78.6381787
151,Oakshire Brewing,Eugene, OR,44.0520691,-123.0867536
152,Fort Pitt Brewing Company,Latrobe, PA,40.3211808,-79.3794811
153,Tin Roof Brewing Company,Baton Rouge, LA,30.4514677,-91.1871466
154,Three Creeks Brewing,Sisters, OR,44.2909491,-121.5492119
155,2 Towns Ciderhouse,Corvallis, OR,44.5645659,-123.2620435
156,Caldera Brewing Company,Ashland, OR,42.1945758,-122.7094767
157,Greenbrier Valley Brewing Company,Lewisburg, WV,37.8017879,-80.4456303
158,Phoenix Ale Brewery,Phoenix, AZ,33.4483771,-112.0740373
159,Lumberyard Brewing Company,Flagstaff, AZ,35.1982836,-111.651302
160,Uinta Brewing Company,Salt Lake City, UT,40.7607793,-111.8910474
161,Four Peaks Brewing Company,Tempe, AZ,33.4255104,-111.9400054
162,Martin House Brewing Company,Fort Worth, TX,32.7554883,-97.3307658
163,Right Brain Brewery,Traverse City, MI,44.7630567,-85.6206317
164,Sly Fox Brewing Company,Phoenixville, PA,40.1303822,-75.5149128
165,Round Guys Brewing,Lansdale, PA,40.2414952,-75.2837862
166,Great Crescent Brewery,Aurora, IN,39.0570022,-84.9013402
167,Oskar Blues Brewery,Longmont, CO,40.1672068,-105.1019275
168,Boxcar Brewing Company,West Chester, PA,39.9606643,-75.6054882
169,High Hops Brewery,Windsor, CO,40.4774818,-104.9013617
170,Crooked Fence Brewing Company,Garden City, ID,43.6221108,-116.2381744
171,Everybody's Brewing,White Salmon, WA,45.7276194,-121.4864619
172,Anderson Valley Brewing Company,Boonville, CA,39.0089749,-123.3671551
173,Fiddlehead Brewing Company,Shelburne, VT,44.3806065,-73.227626
174,Evil Twin Brewing,Brooklyn, NY,40.6781784,-73.9441579
175,New Orleans Lager & Ale Brewing ...,New Orleans, LA,29.9510658,-90.0715323
176,Spiteful Brewing Company,Chicago, IL,41.8781136,-87.6297982
177,Rahr & Sons Brewing Company,Fort Worth, TX,32.7554883,-97.3307658
178,18th Street Brewery,Gary, IN,41.6020403,-87.3371523
179,Cambridge Brewing Company,Cambridge, MA,42.3736158,-71.1097335
180,Carolina Brewery,Pittsboro, NC,35.7201463,-79.1772371
181,Frog Level Brewing Company,Waynesville, NC,35.4887145,-82.9887477
182,Wild Wolf Brewing Company,Nellysford, VA,37.8897544,-78.8733658
183,COOP Ale Works,Oklahoma City, OK,35.4675602,-97.5164276
184,Seventh Son Brewing Company,Columbus, OH,39.9611755,-82.9987942
185,Oasis Texas Brewing Company,Austin, TX,30.267153,-97.7430608
186,Vander Mill Ciders,Spring Lake, MI,43.0769625,-86.1969971
187,St. Julian Winery,Paw Paw, MI,42.2178171,-85.8911246
188,Pedernales Brewing Company,Fredericksburg, TX,30.2752011,-98.8719843
189,Mother's Brewing,Springfield, MO,37.2089572,-93.2922989
190,Modern Monks Brewery,Lincoln, NE,40.813616,-96.7025955
191,Two Beers Brewing Company,Seattle, WA,47.6062095,-122.3320708
192,Snake River Brewing Company,Jackson, WY,43.4799291,-110.7624282
193,Capital Brewery,Middleton, WI,43.0972174,-89.5042876
194,Anthem Brewing Company,Oklahoma City, OK,35.4675602,-97.5164276
195,Goodlife Brewing Co.,Bend, OR,44.0581728,-121.3153096
196,Breakside Brewery,Portland, OR,45.5122308,-122.6587185
197,Goose Island Brewery Company,Chicago, IL,41.8781136,-87.6297982
198,Burnside Brewing Co.,Portland, OR,45.5122308,-122.6587185
199,Hop Valley Brewing Company,Springfield, OR,44.0462362,-123.0220289
200,Worthy Brewing Company,Bend, OR,44.0581728,-121.3153096
201,Occidental Brewing Company,Portland, OR,45.5122308,-122.6587185
202,Fearless Brewing Company,Estacada, OR,45.2944367,-122.3338032
203,Upland Brewing Company,Bloomington, IN,39.165325,-86.5263857
204,Mehana Brewing Co.,Hilo, HI,19.7241106,-155.0868193
205,Hawai'i Nui Brewing Co.,Hilo, HI,19.7241106,-155.0868193
206,People's Brewing Company,Lafayette, IN,40.4167022,-86.8752869
207,Fort George Brewery,Astoria, OR,46.1878841,-123.8312534
208,Branchline Brewing Company,San Antonio, TX,29.4241219,-98.4936282
209,Kalona Brewing Company,Kalona, IA,41.4830723,-91.7060015
210,Modern Times Beer,San Diego, CA,32.715738,-117.1610838
211,Temperance Beer Company,Evanston, IL,42.0450722,-87.6876969
212,Wisconsin Brewing Company,Verona, WI,42.990831,-89.5331773
213,Crow Peak Brewing Company,Spearfish, SD,44.4908172,-103.8593697
214,Grapevine Craft Brewery,Farmers Branch, TX,32.9265137,-96.8961151
215,Buffalo Bayou Brewing Company,Houston, TX,29.7604267,-95.3698028
216,Texian Brewing Co.,Richmond, TX,29.5821811,-95.7607832
217,Orpheus Brewing,Atlanta, GA,33.7489954,-84.3879824
218,Forgotten Boardwalk,Cherry Hill, NJ,39.926813,-75.0246312
219,Laughing Dog Brewing Company,Ponderay, ID,48.3054806,-116.5338037
220,Bozeman Brewing Company,Bozeman, MT,45.6769979,-111.0429339
221,Big Choice Brewing,Broomfield, CO,39.9205411,-105.0866504
222,Big Storm Brewing Company,Odessa, FL,28.1793926,-82.5579537
223,Carton Brewing Company,Atlantic Highlands, NJ,40.4078864,-74.034306
224,Midnight Sun Brewing Company,Anchorage, AK,61.2180556,-149.9002778
225,Fat Head's Brewery,Middleburg Heights, OH,41.3614401,-81.812912
226,Refuge Brewery,Temecula, CA,33.4936391,-117.1483648
227,Chatham Brewing,Chatham, NY,42.3642516,-73.5948391
228,DC Brau Brewing Company,Washington, DC,38.9071923,-77.0368707
229,Geneva Lake Brewing Company,Lake Geneva, WI,42.5916836,-88.4334301
230,Rochester Mills Brewing Company,Rochester, MI,42.680588,-83.1338214
231,Cape Ann Brewing Company,Gloucester, MA,42.6159285,-70.6619888
232,Borderlands Brewing Company,Tucson, AZ,32.2226066,-110.9747108
233,College Street Brewhouse and Pub,Lake Havasu City, AZ,34.483901,-114.3224548
234,Joseph James Brewing Company,Henderson, NV,36.0395247,-114.9817213
235,Harpoon Brewery,Boston, MA,42.3600825,-71.0588801
236,Back East Brewing Company,Bloomfield, CT,41.826488,-72.7300945
237,Champion Brewing Company,Charlottesville, VA,38.0293059,-78.4766781
238,Devil's Backbone Brewing Company,Lexington, VA,37.7840208,-79.4428157
239,Newburgh Brewing Company,Newburgh, NY,41.5034271,-74.0104178
240,Wiseacre Brewing Company,Memphis, TN,35.1495343,-90.0489801
241,Golden Road Brewing,Los Angeles, CA,34.0522342,-118.2436849
242,New Republic Brewing Company,College Station, TX,30.627977,-96.3344068
243,Infamous Brewing Company,Austin, TX,30.267153,-97.7430608
244,Two Henrys Brewing Company,Plant City, FL,28.0186323,-82.1128641
245,Lift Bridge Brewing Company,Stillwater, MN,45.056004,-92.8088443
246,Lucky Town Brewing Company,Jackson, MS,32.2987573,-90.1848103
247,Quest Brewing Company,Greenville, SC,34.8526176,-82.3940104
248,Creature Comforts,Athens, GA,33.9519347,-83.357567
249,Half Full Brewery,Stamford, CT,41.0534302,-73.5387341
250,Southampton Publick House,Southampton, NY,40.8598656,-72.5678041
251,Chapman's Brewing,Angola, IN,41.6347726,-84.9994088
252,Barrio Brewing Company,Tucson, AZ,32.2226066,-110.9747108
253,Santa Cruz Mountain Brewing,Santa Cruz, CA,36.9741171,-122.0307963
254,Frankenmuth Brewery,Frankenmuth, MI,43.331691,-83.7380194
255,Meckley's Cidery,Somerset Center, MI,42.0511543,-84.4135604
256,Stillwater Artisanal Ales,Baltimore, MD,39.2903848,-76.6121893
257,Finch's Beer Company,Chicago, IL,41.8781136,-87.6297982
258,South Austin Brewery,South Austin, TX,30.2029974,-97.8067305
259,Bauhaus Brew Labs,Minneapolis, MN,44.977753,-93.2650108
260,Ozark Beer Company,Rogers, AR,36.3320196,-94.1185366
261,Mountain Town Brewing Company ,Mount Pleasant, MI,43.5978075,-84.7675139
262,Otter Creek Brewing,Waterbury, VT,44.3378203,-72.7562636
263,The Brewer's Art,Baltimore, MD,39.2903848,-76.6121893
264,Denver Beer Company,Denver, CO,39.7392358,-104.990251
265,Ska Brewing Company,Durango, CO,37.27528,-107.8800667
266,Tractor Brewing Company,Albuquerque, NM,35.0843859,-106.650422
267,Peak Organic Brewing Company,Portland, ME,43.6590993,-70.2568189
268,Cape Cod Beer,Hyannis, MA,41.6524911,-70.2881124
269,Long Trail Brewing Company,Bridgewater Corners, VT,43.5884026,-72.6559307
270,Great Raft Brewing Company,Shreveport, LA,32.5251516,-93.7501789
271,Alaskan Brewing Company,Juneau, AK,58.3019444,-134.4197221
272,Notch Brewing Company,Ipswich, MA,42.6791832,-70.8411558
273,The Alchemist,Waterbury, VT,44.3378203,-72.7562636
274,Three Notch'd Brewing Company,Charlottesville, VA,38.0293059,-78.4766781
275,Portside Brewery,Cleveland, OH,41.49932,-81.6943605
276,Otter Creek Brewing,Middlebury, VT,44.0153371,-73.16734
277,Montauk Brewing Company,Montauk, NY,41.0359353,-71.9545146
278,Indeed Brewing Company,Minneapolis, MN,44.977753,-93.2650108
279,Berkshire Brewing Company,South Deerfield, MA,42.4773097,-72.6078667
280,Foolproof Brewing Company,Pawtucket, RI,41.878711,-71.3825558
281,Headlands Brewing Company,Mill Valley, CA,37.9060368,-122.5449763
282,Bolero Snort Brewery,Ridgefield Park, NJ,40.8570442,-74.0215285
283,Thunderhead Brewing Company,Kearney, NE,40.6993303,-99.0816784
284,Defiance Brewing Company,Hays, KS,38.8791783,-99.3267702
285,Milwaukee Brewing Company,Milwaukee, WI,43.0389025,-87.9064736
286,Catawba Island Brewing,Port Clinton, OH,41.5119954,-82.9376919
287,Back Forty Beer Company,Gadsden, AL,34.014264,-86.0066386
288,Four Corners Brewing Company,Dallas, TX,32.7766642,-96.7969879
289,Saint Archer Brewery,San Diego, CA,32.715738,-117.1610838
290,Rogue Ales,Newport, OR,44.6367836,-124.0534505
291,Hale's Ales,Seattle, WA,47.6062095,-122.3320708
292,Tommyknocker Brewery,Idaho Springs, CO,39.7424881,-105.5136081
293,Baxter Brewing Company,Lewiston, ME,44.100351,-70.2147764
294,Northampton Brewery,Northamtpon, MA,42.3250896,-72.6412013
295,Black Shirt Brewing Company,Denver, CO,39.7392358,-104.990251
296,Wachusett Brewing Company,Westminster, MA,42.5459227,-71.9106308
297,Widmer Brothers Brewing Company,Portland, OR,45.5122308,-122.6587185
298,Hop Farm Brewing Company,Pittsburgh, PA,40.4406248,-79.9958864
299,Liquid Hero Brewery,York, PA,39.9625984,-76.727745
300,Matt Brewing Company,Utica, NY,43.100903,-75.232664
301,Boston Beer Company,Boston, MA,42.3600825,-71.0588801
